throw,white,red
138.0,,2.0
139.0,2.0,2.0
139.0,6.0,3.0
139.0,2.0,6.0
139.0,,2.0
140.0,,2.0
140.0,,2.0
141.0,,2.0
141.0,,2.0
142.0,,2.0
142.0,,2.0
143.0,2.0,4.0
143.0,2.0,
143.0,2.0,
144.0,3.0,2.0
144.0,2.0,6.0
144.0,2.0,6.0
144.0,2.0,
144.0,2.0,
145.0,2.0,2.0
145.0,3.0,2.0
145.0,2.0,3.0
145.0,2.0,6.0
146.0,6.0,2.0
146.0,2.0,2.0
146.0,2.0,5.0
146.0,2.0,2.0
146.0,,2.0
146.0,,6.0
147.0,2.0,2.0
148.0,2.0,3.0
148.0,1.0,5.0
148.0,6.0,
149.0,2.0,6.0
149.0,5.0,1.0
149.0,,6.0
150.0,2.0,5.0
150.0,5.0,1.0
150.0,,6.0
151.0,2.0,1.0
151.0,1.0,5.0
151.0,1.0,
151.0,2.0,
151.0,2.0,
151.0,1.0,
151.0,5.0,
152.0,2.0,1.0
152.0,1.0,5.0
152.0,1.0,
152.0,3.0,
152.0,1.0,
152.0,5.0,
